id,n_items,total_weight,avg_size,std_size,skew_size,theo_min,opt_bins,waste_pct,solve_time_ms
0,15,535,35.666666666666664,19.37106334815142,0.18544094956033913,6,6,10.833333333333334,0.030040740966796875
1,13,413,31.76923076923077,17.59334081479811,0.08281370726169998,5,5,17.4,0.013828277587890625
2,14,569,40.642857142857146,17.33208293602067,-0.09041043369796926,6,6,5.166666666666667,0.01621246337890625
3,12,388,32.333333333333336,16.543789460004913,0.6515938943502344,4,5,22.400000000000002,0.010013580322265625
4,12,483,40.25,19.601136330696377,-0.05263768069917117,5,5,3.4000000000000004,0.010967254638671875
5,15,604,40.266666666666666,19.965923350501356,-0.09787469358363282,7,7,13.714285714285715,0.019073486328125
6,11,412,37.45454545454545,15.895682661424997,0.5167992716903835,5,5,17.599999999999998,0.007867813110351562
7,11,482,43.81818181818182,16.539759259542937,-0.5174808434482612,5,6,19.666666666666664,0.011920928955078125
8,15,651,43.4,16.025871939728315,0.0030826780201083153,7,7,7.000000000000001,0.015735626220703125
9,10,356,35.6,20.586943003326702,0.4722401942588679,4,4,11.0,0.007867813110351562
10,14,588,42,17.724385635441532,0.1261503897431927,6,7,16.0,0.012159347534179688
11,11,495,45,12.041594578792296,0.20930584891036658,5,6,17.5,0.008106231689453125
12,11,358,32.54545454545455,19.106876439458315,0.4337620253424311,4,4,10.5,0.007867813110351562
13,15,622,41.46666666666667,16.762486461767907,-0.21290792089902033,7,7,11.142857142857142,0.013113021850585938
14,10,434,43.4,16.581113754308948,-0.18851686557039654,5,5,13.200000000000001,0.012874603271484375
15,13,520,40,19.870413516918397,-0.04765102000294941,6,6,13.333333333333334,0.010967254638671875
16,15,667,44.46666666666667,17.045597113400895,-0.10501271995407975,7,7,4.714285714285714,0.013113021850585938
17,10,439,43.9,20.867039400291873,-0.22492692024008198,5,5,12.2,0.009775161743164062
18,12,448,37.333333333333336,22.10032222444375,0.2122015361585668,5,5,10.4,0.010967254638671875
19,14,564,40.285714285714285,17.516711016488365,0.15252095706697794,6,6,6.0,0.011920928955078125
20,14,631,45.07142857142857,12.922635392771301,-0.12201074160378304,7,7,9.857142857142858,0.015020370483398438
21,10,292,29.2,13.113182510571397,0.23031600098408944,3,3,2.666666666666667,0.008106231689453125
22,10,345,34.5,22.554871363459874,0.30747337351166837,4,4,13.750000000000002,0.010013580322265625
23,10,397,39.7,16.425251562423295,0.25587144000096074,4,5,20.599999999999998,0.0069141387939453125
24,14,520,37.142857142857146,14.426776082405526,0.12461205020414835,6,6,13.333333333333334,0.012159347534179688
25,13,540,41.53846153846154,18.482493449276916,-0.42733745519881455,6,7,22.857142857142858,0.01811981201171875
26,10,293,29.3,9.262229153335005,0.29195200893109474,3,4,26.75,0.0069141387939453125
27,11,501,45.54545454545455,22.13758630186966,-0.4551489485636677,6,6,16.5,0.010013580322265625
28,14,564,40.285714285714285,20.333483455880092,0.0690645508885469,6,6,6.0,0.013113021850585938
29,10,380,38,19.189117286165672,0.2893915490624327,4,4,5.0,0.007867813110351562
30,13,515,39.61538461538461,16.3836222161974,-0.30238650810736734,6,6,14.166666666666666,0.010013580322265625
31,15,549,36.6,18.848266309057255,0.047065842757976255,6,6,8.5,0.013113021850585938
32,10,356,35.6,20.36445705416943,0.2912782964889739,4,4,11.0,0.009775161743164062
33,14,545,38.92857142857143,15.696468420607257,-0.11378705689078067,6,6,9.166666666666666,0.012159347534179688
34,11,412,37.45454545454545,13.09475953474241,0.08962599359061804,5,5,17.599999999999998,0.010967254638671875
35,12,451,37.583333333333336,21.714922951460796,0.10175973248062303,5,5,9.8,0.010967254638671875
36,14,542,38.714285714285715,19.526820102021304,0.4411771856349797,6,6,9.666666666666666,0.012159347534179688
37,15,704,46.93333333333333,18.63739201048207,-0.5673421927376305,8,8,12.0,0.015735626220703125
38,11,372,33.81818181818182,17.255829054659657,0.6035454144829172,4,4,7.000000000000001,0.008106231689453125
39,15,633,42.2,19.05330867404849,-0.0641189395671946,7,7,9.571428571428571,0.015020370483398438
40,13,456,35.07692307692308,18.273211442170105,0.15779333337323476,5,5,8.799999999999999,0.010013580322265625
41,15,598,39.86666666666667,21.560104249239966,-0.040051197153687955,6,7,14.571428571428571,0.012159347534179688
42,14,543,38.785714285714285,22.063469883422762,0.26282126735012246,6,6,9.5,0.012159347534179688
43,15,684,45.6,18.821719976058056,-0.2003032894112866,7,8,14.499999999999998,0.016927719116210938
44,11,494,44.90909090909091,21.172881454608607,-0.31436738927691354,5,6,17.666666666666668,0.012874603271484375
45,13,597,45.92307692307692,18.508833649825778,-0.43921774748409176,6,8,25.374999999999996,0.016927719116210938
46,10,442,44.2,18.004937594387208,0.13358962308932879,5,5,11.600000000000001,0.008821487426757812
47,11,367,33.36363636363637,17.850897609211295,0.5390237943236822,4,4,8.25,0.008821487426757812
48,12,509,42.416666666666664,19.109532763106543,-0.10870605965589657,6,6,15.166666666666668,0.009059906005859375
49,11,401,36.45454545454545,15.390670137220383,-0.03616074584236297,5,5,19.8,0.008106231689453125
50,14,541,38.642857142857146,19.684461434797296,0.07084192730058533,6,6,9.833333333333332,0.013113021850585938
51,14,672,48,17.79801198924281,-0.4431770726679902,7,9,25.333333333333336,0.017881393432617188
52,14,593,42.357142857142854,15.148532007360382,0.11330051961167653,6,7,15.285714285714286,0.014781951904296875
53,12,524,43.666666666666664,17.572361218341683,-0.07984338182172886,6,6,12.666666666666668,0.011920928955078125
54,14,535,38.214285714285715,14.812565203640046,0.008421922978229704,6,6,10.833333333333334,0.010967254638671875
55,13,565,43.46153846153846,16.5862160875398,-0.31771578031652886,6,6,5.833333333333333,0.011920928955078125
56,12,536,44.666666666666664,16.505279228908623,-0.2796822776055924,6,6,10.666666666666668,0.010967254638671875
57,11,376,34.18181818181818,20.922801828713965,0.2666371179506025,4,4,6.0,0.008821487426757812
58,13,534,41.07692307692308,14.162518246305035,-0.011439583450975383,6,6,11.0,0.011205673217773438
59,15,679,45.266666666666666,19.655848517740996,-0.48277432819338,7,8,15.125,0.0171661376953125
60,10,428,42.8,18.65356683199102,-0.08977519856934932,5,5,14.399999999999999,0.007867813110351562
61,14,732,52.285714285714285,12.784778036811959,-0.16508457126886594,8,9,18.666666666666668,0.0152587890625
62,14,633,45.214285714285715,16.581632894577947,-0.12770200249640784,7,7,9.571428571428571,0.014066696166992188
63,14,502,35.857142857142854,14.206483584060337,0.6363197622669672,6,6,16.333333333333332,0.010967254638671875
64,10,296,29.6,14.826402875351196,0.7075022166537547,3,4,26.0,0.006198883056640625
65,13,562,43.23076923076923,17.359693959254418,0.07289044933561817,6,6,6.333333333333334,0.010013580322265625
66,15,683,45.53333333333333,20.14187772019377,-0.3810157689384736,7,8,14.625,0.017881393432617188
67,13,572,44,13.92838827718412,0.0064906605933720985,6,6,4.666666666666667,0.011920928955078125
68,10,444,44.4,14.48524153137331,-0.1776946852184109,5,5,11.200000000000001,0.010013580322265625
69,11,429,39,18.846750383023593,-0.37342121425430264,5,5,14.2,0.009059906005859375
70,13,427,32.84615384615385,14.893209603966913,0.8277302764608974,5,5,14.6,0.010251998901367188
71,13,523,40.23076923076923,20.74107778521424,-0.05287376796043775,6,6,12.833333333333332,0.014066696166992188
72,12,460,38.333333333333336,22.21520091097876,0.034195840711273275,5,6,23.333333333333332,0.015020370483398438
73,10,359,35.9,18.13805085693854,0.44270686189706626,4,4,10.25,0.00667572021484375
74,13,558,42.92307692307692,17.09513351055176,-0.3989345137161577,6,7,20.285714285714285,0.0152587890625
75,12,533,44.416666666666664,19.92923085380473,-0.2035596186414536,6,6,11.166666666666666,0.010967254638671875
76,11,475,43.18181818181818,18.691271662560478,-0.4194271520230644,5,6,20.833333333333336,0.012159347534179688
77,15,609,40.6,16.32614030145696,-0.46231284241534026,7,7,13.0,0.013113021850585938
78,12,518,43.166666666666664,18.70747703378777,-0.265881690609659,6,6,13.666666666666666,0.010967254638671875
79,15,651,43.4,14.356680873874913,-0.09182198535505579,7,7,7.000000000000001,0.012874603271484375
80,15,639,42.6,17.823740187898675,0.13674045646898225,7,7,8.714285714285715,0.013828277587890625
81,14,498,35.57142857142857,15.031834351004669,0.48296707157429736,5,6,17.0,0.011920928955078125
82,12,491,40.916666666666664,20.843391511387242,-0.014910745181832098,5,6,18.166666666666668,0.008106231689453125
83,15,598,39.86666666666667,14.994602203396235,-0.4453373083628993,6,7,14.571428571428571,0.01430511474609375
84,11,435,39.54545454545455,9.511715264489748,0.054484349232841955,5,5,13.0,0.007867813110351562
85,13,459,35.30769230769231,13.603826761764594,0.45445597408050437,5,5,8.200000000000001,0.010013580322265625
86,12,490,40.833333333333336,18.284784202536635,0.05857379462480727,5,5,2.0,0.010013580322265625
87,15,525,35,16.256866681058632,0.2620763658906439,6,6,12.5,0.012874603271484375
88,14,515,36.785714285714285,20.374110915679132,0.20394880760702747,6,6,14.166666666666666,0.011920928955078125
89,10,353,35.3,15.74131153649177,0.7165102342020085,4,4,11.75,0.008106231689453125
90,13,444,34.15384615384615,18.937819981218155,0.1783989460086063,5,5,11.200000000000001,0.010013580322265625
91,14,583,41.642857142857146,17.4382741862091,-0.08936916322111066,6,6,2.833333333333333,0.011920928955078125
92,14,599,42.785714285714285,14.833323043993632,-0.05042554658964581,6,7,14.428571428571429,0.011205673217773438
93,10,362,36.2,19.286149319020517,0.48373768420146046,4,4,9.5,0.010013580322265625
94,11,345,31.363636363636363,15.454919781562939,-0.09792123787802066,4,4,13.750000000000002,0.008821487426757812
95,11,455,41.36363636363637,18.581026490873572,0.08934850353854029,5,5,9.0,0.010967254638671875
96,15,619,41.266666666666666,18.94528462504086,0.07597909028901623,7,7,11.571428571428571,0.013113021850585938
97,10,431,43.1,19.30716619979915,-0.22230552815014815,5,5,13.8,0.009059906005859375
98,13,505,38.84615384615385,15.192356377721406,0.23504322760129723,6,6,15.833333333333332,0.029087066650390625
99,14,553,39.5,19.991344280809287,-0.0789596163352224,6,6,7.833333333333334,0.0171661376953125
100,14,610,43.57142857142857,18.94816526825136,-0.49482169163148093,7,7,12.857142857142856,0.04291534423828125
101,13,507,39,15.083103128998356,0.3616817528663532,6,6,15.5,0.01621246337890625
102,12,499,41.583333333333336,16.983726613937524,0.12649110165669145,5,6,16.833333333333332,0.011920928955078125
103,14,494,35.285714285714285,18.74291074771214,0.2094718579026402,5,6,17.666666666666668,0.010967254638671875
104,14,516,36.857142857142854,14.784904686652755,-0.2183177203458381,6,6,14.000000000000002,0.013113021850585938
105,12,485,40.416666666666664,18.836417017591376,-0.09317311062273524,5,5,3.0,0.009059906005859375
106,11,410,37.27272727272727,19.555515381042294,0.15973188018866133,5,5,18.0,0.009059906005859375
107,10,452,45.2,19.611787838497087,-0.1365618886562307,5,5,9.6,0.009059906005859375
108,14,561,40.07142857142857,14.777656136178054,0.3669037430931679,6,6,6.5,0.012159347534179688
109,14,668,47.714285714285715,19.14490722169926,-0.4959239468084404,7,8,16.5,0.016689300537109375
110,12,519,43.25,18.131464364468744,-0.41996297558610624,6,6,13.5,0.012159347534179688
111,13,553,42.53846153846154,14.05118847058488,0.542185079087034,6,6,7.833333333333334,0.010013580322265625
112,15,645,43,16.966353257466462,-0.09820049088209765,7,7,7.857142857142857,0.016927719116210938
113,13,516,39.69230769230769,18.692175793562285,-0.17501592009051073,6,6,14.000000000000002,0.012874603271484375
114,13,476,36.61538461538461,19.784415000779703,0.1414624019431142,5,5,4.8,0.011205673217773438
115,12,555,46.25,15.533687731683502,-0.47506865548579985,6,6,7.5,0.010967254638671875
116,13,559,43,17.832554500127006,-0.45301274451035106,6,6,6.833333333333333,0.011920928955078125
117,15,601,40.06666666666667,19.14779609349586,-0.02580693763481559,7,7,14.142857142857142,0.01811981201171875
118,12,367,30.583333333333332,17.712134173207275,0.793667018015005,4,4,8.25,0.009059906005859375
119,14,547,39.07142857142857,16.578318954003127,-0.021016494804922854,6,6,8.833333333333334,0.011920928955078125
120,13,528,40.61538461538461,18.781810622418977,0.003507004337394911,6,6,12.0,0.010013580322265625
121,13,529,40.69230769230769,16.76993647068376,0.2298376490052906,6,6,11.833333333333334,0.010013580322265625
122,15,545,36.333333333333336,14.003400947456946,0.709859396075975,6,6,9.166666666666666,0.013113021850585938
123,15,635,42.333333333333336,20.226102889465338,-0.3966843496672142,7,7,9.285714285714286,0.01621246337890625
124,15,696,46.4,16.70243780324982,-0.2293188812192854,7,8,13.0,0.015974044799804688
125,12,595,49.583333333333336,16.064972248134552,-1.203811275968775,6,9,33.88888888888889,0.014066696166992188
126,15,539,35.93333333333333,18.207010685316742,0.24611110105668393,6,6,10.166666666666666,0.013828277587890625
127,11,486,44.18181818181818,18.03229426234045,-0.012770738600865349,5,6,19.0,0.010013580322265625
128,11,569,51.72727272727273,16.947512555480873,-0.4730842588790868,6,7,18.714285714285715,0.011920928955078125
129,10,416,41.6,18.001234525566417,-0.2597490210023634,5,5,16.8,0.010013580322265625
130,14,501,35.785714285714285,16.08715957826935,-0.002368675541468758,6,6,16.5,0.012159347534179688
131,14,623,44.5,19.234384275602338,-0.22883096834576766,7,7,11.0,0.013113021850585938
132,12,559,46.583333333333336,17.069155239966054,-0.46981782021405083,6,7,20.142857142857142,0.012874603271484375
133,13,385,29.615384615384617,19.805464151501482,0.9681598891567426,4,4,3.75,0.010013580322265625
134,13,634,48.76923076923077,14.566822154893897,-0.3141165195306953,7,7,9.428571428571429,0.012159347534179688
135,13,545,41.92307692307692,19.499835633758295,0.013092394350309377,6,6,9.166666666666666,0.010967254638671875
136,13,539,41.46153846153846,18.66197285308364,0.09049480714891474,6,6,10.166666666666666,0.011205673217773438
137,13,540,41.53846153846154,18.919193889695656,-0.05183759539709509,6,6,10.0,0.013113021850585938
138,10,353,35.3,20.077903830385836,0.29223969198416466,4,4,11.75,0.010013580322265625
139,14,565,40.357142857142854,19.875021597887223,0.027825045728147056,6,7,19.28571428571429,0.013113021850585938
140,11,343,31.181818181818183,20.409890650457594,0.5342663890885585,4,4,14.249999999999998,0.031948089599609375
141,12,404,33.666666666666664,18.112443403931067,0.3380903688348958,5,5,19.2,0.017881393432617188
142,14,537,38.357142857142854,16.786474146934914,0.13931020758033516,6,6,10.5,0.014066696166992188
143,14,603,43.07142857142857,20.11300492300857,-0.4357497496261086,7,7,13.857142857142858,0.015020370483398438
144,13,501,38.53846153846154,19.094568968755596,0.10632873345192682,6,6,16.5,0.010967254638671875
145,10,403,40.3,12.165981715879369,-0.5095883599247326,5,5,19.400000000000002,0.007152557373046875
146,14,632,45.142857142857146,16.19048696401279,-0.5056245503741786,7,7,9.714285714285714,0.013828277587890625
147,14,604,43.142857142857146,14.821279623242038,0.3214944411847618,7,7,13.714285714285715,0.011920928955078125
148,10,389,38.9,15.044009512833412,0.6072050773040393,4,5,22.2,0.007867813110351562
149,10,369,36.9,20.978560484456505,0.07927592326580939,4,4,7.75,0.009059906005859375
150,11,428,38.90909090909091,15.162153840761183,-0.19680782892959586,5,5,14.399999999999999,0.009298324584960938
151,15,631,42.06666666666667,18.633559075214908,0.030426825005183202,7,7,9.857142857142858,0.011920928955078125
152,11,445,40.45454545454545,17.65425521716301,0.002311149711857523,5,5,11.0,0.008106231689453125
153,12,600,50,11.441551070947108,-0.7457589304089496,6,7,14.285714285714285,0.010013580322265625
154,14,592,42.285714285714285,20.581651916316037,-0.22302786193441898,6,7,15.428571428571427,0.01621246337890625
155,12,420,35,18.591298062167784,0.14807428749151313,5,5,16.0,0.010967254638671875
156,10,331,33.1,12.10555428076073,0.3176614720816928,4,4,17.25,0.006198883056640625
157,12,500,41.666666666666664,21.059799417733103,-0.14209768834110545,5,6,16.666666666666664,0.013113021850585938
158,14,506,36.142857142857146,13.888884004883145,-0.12345925150217979,6,6,15.666666666666668,0.010013580322265625
159,14,485,34.642857142857146,14.074565946891811,-0.1011245296616389,5,5,3.0,0.011920928955078125
160,13,435,33.46153846153846,19.02899272432895,0.6152358258712658,5,5,13.0,0.011920928955078125
161,10,341,34.1,15.737075826072504,0.025974410805042116,4,4,14.75,0.008106231689453125
162,14,591,42.214285714285715,19.93905549583365,-0.30001692502288796,6,6,1.5,0.011920928955078125
163,10,428,42.8,11.72651316935734,0.4262033986668386,5,5,14.399999999999999,0.007152557373046875
164,10,432,43.2,19.469634476966093,-0.19908487485035695,5,5,13.600000000000001,0.008821487426757812
165,12,434,36.166666666666664,17.06049841184618,0.31149249007817104,5,5,13.200000000000001,0.008821487426757812
166,12,430,35.833333333333336,15.319822769763679,0.06157875771291943,5,5,14.000000000000002,0.008821487426757812
167,11,481,43.72727272727273,19.11068240064132,-0.20353729860254208,5,6,19.833333333333332,0.012874603271484375
168,11,408,37.09090909090909,19.997272541296955,0.3017868608124458,5,5,18.4,0.013113021850585938
169,15,741,49.4,10.479912758633606,0.16414336227447313,8,8,7.375,0.014066696166992188
170,15,493,32.86666666666667,14.075645971812786,0.11956567434062941,5,5,1.4000000000000001,0.012874603271484375
171,12,435,36.25,20.657928260113597,0.18408415681045234,5,5,13.0,0.010967254638671875
172,14,664,47.42857142857143,14.867177507279822,-0.5855663065969114,7,8,17.0,0.010967254638671875
173,15,560,37.333333333333336,18.449416044443044,0.18526097739966615,6,6,6.666666666666667,0.010967254638671875
174,14,529,37.785714285714285,15.28286406619957,0.13757374911075804,6,6,11.833333333333334,0.011920928955078125
175,12,480,40,16.051054907275212,-0.38485390876641434,5,5,4.0,0.010967254638671875
176,12,555,46.25,16.85836722386084,-0.3478560057693696,6,6,7.5,0.010967254638671875
177,11,450,40.90909090909091,16.615983542688923,-0.10245215226243592,5,5,10.0,0.010967254638671875
178,13,536,41.23076923076923,18.32645558636406,-0.03888420818609197,6,6,10.666666666666668,0.010013580322265625
179,15,682,45.46666666666667,17.463703856311593,-0.4898415088302724,7,8,14.75,0.016927719116210938
180,12,412,34.333333333333336,20.645639351747484,0.7844360133454038,5,5,17.599999999999998,0.010013580322265625
181,12,578,48.166666666666664,17.999158229475537,-0.9211381541394942,6,8,27.750000000000004,0.011920928955078125
182,12,510,42.5,18.865553024205013,-0.21208080707907792,6,6,15.0,0.011920928955078125
183,14,572,40.857142857142854,16.519718487344115,-0.0720506195973166,6,6,4.666666666666667,0.014066696166992188
184,15,689,45.93333333333333,16.97673478056142,-0.048615211199314105,7,8,13.875000000000002,0.012636184692382812
185,14,591,42.214285714285715,14.088612812800662,0.026361658163723337,6,7,15.571428571428573,0.014066696166992188
186,11,478,43.45454545454545,19.699561601028773,-0.19972930331960356,5,5,4.3999999999999995,0.008821487426757812
187,14,510,36.42857142857143,19.472719717256066,0.39013080018183294,6,6,15.0,0.011205673217773438
188,11,437,39.72727272727273,19.318855603223028,0.133030004222022,5,5,12.6,0.008821487426757812
189,11,401,36.45454545454545,20.15124629576859,0.2827481708912828,5,5,19.8,0.007867813110351562
190,12,501,41.75,21.452378550047673,-0.15207358512485378,6,6,16.5,0.012874603271484375
191,15,580,38.666666666666664,20.44737729136033,0.029796161380501694,6,6,3.3333333333333335,0.012874603271484375
192,14,484,34.57142857142857,15.335801680603893,0.29115975350886997,5,5,3.2,0.011920928955078125
193,10,429,42.9,17.527438806371887,-0.5052074248709459,5,5,14.2,0.008106231689453125
194,11,358,32.54545454545455,13.75037189579712,0.0816244354509813,4,4,10.5,0.0069141387939453125
195,15,583,38.86666666666667,15.683779913686381,-0.35954640500827884,6,6,2.833333333333333,0.012874603271484375
196,10,349,34.9,16.515649144573963,0.14445277769405498,4,4,12.75,0.008344650268554688
197,11,456,41.45454545454545,18.506018676979856,-0.5358910933012914,5,6,24.0,0.012159347534179688
198,12,567,47.25,12.750222814452375,-0.564715476145945,6,7,19.0,0.03790855407714844
199,11,390,35.45454545454545,22.128550049036814,0.2903907704991472,4,4,2.5,0.01811981201171875
200,11,455,41.36363636363637,17.962587381959914,0.19302054786952125,5,5,9.0,0.012159347534179688
201,10,444,44.4,18.98654494343004,-0.36277512077108975,5,6,26.0,0.011920928955078125
202,12,503,41.916666666666664,16.494948721755193,0.340300682056086,6,6,16.166666666666664,0.010967254638671875
203,11,501,45.54545454545455,16.403436447059722,-0.30946483202074243,6,6,16.5,0.010013580322265625
204,13,426,32.76923076923077,15.034149162012495,0.43659902866296335,5,5,14.799999999999999,0.010013580322265625
205,12,493,41.083333333333336,15.435839838348658,-0.287675550752233,5,6,17.833333333333336,0.010967254638671875
206,12,490,40.833333333333336,17.51276590653143,-0.13862912560336552,5,5,2.0,0.010013580322265625
207,14,584,41.714285714285715,21.341287436575833,-0.2709805136881717,6,8,27.0,0.02002716064453125
208,10,411,41.1,17.038844509596952,0.02128910683810625,5,5,17.8,0.007867813110351562
209,11,444,40.36363636363637,16.439420471979705,0.0695142739030409,5,5,11.200000000000001,0.009059906005859375
210,12,392,32.666666666666664,13.686976778431873,0.19536686985589033,4,5,21.6,0.007867813110351562
211,14,523,37.357142857142854,17.00953191078978,0.3401632898002824,6,6,12.833333333333332,0.01430511474609375
212,11,490,44.54545454545455,20.39295778627336,-0.38219657679449137,5,6,18.333333333333332,0.010967254638671875
213,12,505,42.083333333333336,17.301909160727337,-0.12327987970934555,6,6,15.833333333333332,0.009775161743164062
214,15,596,39.733333333333334,18.06522573765357,0.14109243980571384,6,7,14.857142857142858,0.013113021850585938
215,10,435,43.5,13.922404006971401,-0.07592752822001972,5,5,13.0,0.00667572021484375
216,10,403,40.3,13.760248705762715,-0.24322158554128281,5,5,19.400000000000002,0.0069141387939453125
217,14,538,38.42857142857143,18.228102925530575,0.030726501298985808,6,6,10.333333333333334,0.012159347534179688
218,14,562,40.142857142857146,19.638491023251497,-0.026526667447640487,6,6,6.333333333333334,0.013113021850585938
219,12,528,44,20.83702997506646,0.18475616181138427,6,6,12.0,0.008821487426757812
220,10,360,36,12.719189352225943,-0.0836863928546512,4,4,10.0,0.007867813110351562
221,10,417,41.7,16.865810254937518,-0.14350254573995025,5,5,16.6,0.0069141387939453125
222,15,681,45.4,22.940295178073512,-0.4855891338176325,7,9,24.333333333333336,0.0209808349609375
223,14,580,41.42857142857143,15.062507124616436,-0.3708623241313626,6,6,3.3333333333333335,0.010967254638671875
224,15,547,36.46666666666667,15.5327610767264,0.1500478454344265,6,6,8.833333333333334,0.013828277587890625
225,13,528,40.61538461538461,15.521696973046373,0.3363560455055642,6,6,12.0,0.011920928955078125
226,11,370,33.63636363636363,12.492179371692734,0.2647324316756949,4,4,7.5,0.008821487426757812
227,11,420,38.18181818181818,20.88453103049327,0.346156963120106,5,5,16.0,0.009059906005859375
228,11,476,43.27272727272727,16.589701076818166,0.03884606767286283,5,5,4.8,0.010251998901367188
229,13,484,37.23076923076923,17.4602111773877,0.3733961623648288,5,5,3.2,0.010013580322265625
230,12,488,40.666666666666664,17.364191645888717,-0.2484749862726972,5,6,18.666666666666668,0.009059906005859375
231,10,409,40.9,18.74655523911882,0.07695436384258285,5,5,18.2,0.0069141387939453125
232,12,369,30.75,12.89908382934089,-0.25991777230710617,4,4,7.75,0.008821487426757812
233,13,522,40.15384615384615,16.821841723615133,-0.20379594150964184,6,6,13.0,0.010013580322265625
234,12,438,36.5,18.04287822231959,0.17216349911547993,5,5,12.4,0.010013580322265625
235,10,421,42.1,16.43471934655411,-0.0718239984316581,5,5,15.8,0.0069141387939453125
236,14,569,40.642857142857146,15.63825262153496,0.26726683242496363,6,6,5.166666666666667,0.012159347534179688
237,14,545,38.92857142857143,14.144660779652108,-0.3483577370927413,6,6,9.166666666666666,0.011920928955078125
238,12,588,49,16.39290312077982,-1.0347950493119944,6,8,26.5,0.013828277587890625
239,14,600,42.857142857142854,15.149801434886317,-0.5826486501520483,6,7,14.285714285714285,0.010967254638671875
240,11,410,37.27272727272727,21.00043289597102,0.11178590592539212,5,5,18.0,0.008821487426757812
241,12,527,43.916666666666664,15.506352559418017,0.03916358303161157,6,6,12.166666666666668,0.010013580322265625
242,15,542,36.13333333333333,13.479437603076699,-0.12432965420215845,6,6,9.666666666666666,0.012874603271484375
243,14,674,48.142857142857146,11.921907067741643,-0.48805104953109646,7,8,15.75,0.01621246337890625
244,11,414,37.63636363636363,16.65696687439059,0.7515639890486854,5,5,17.2,0.0069141387939453125
245,15,668,44.53333333333333,15.792704765477122,0.005059870048257372,7,7,4.571428571428571,0.011920928955078125
246,14,539,38.5,18.67845323854776,0.2041372212718661,6,6,10.166666666666666,0.012874603271484375
247,13,547,42.07692307692308,15.97634469281349,0.13450053236211412,6,6,8.833333333333334,0.010013580322265625
248,11,418,38,18.077610461562667,0.042563410422461805,5,5,16.400000000000002,0.008106231689453125
249,15,505,33.666666666666664,18.96864580853161,0.3770092960132852,6,6,15.833333333333332,0.012874603271484375
250,13,600,46.15384615384615,16.071953593377884,-0.02180253543718708,6,7,14.285714285714285,0.015020370483398438
251,10,484,48.4,17.04373459335978,-0.7730923042003429,5,6,19.333333333333332,0.010967254638671875
252,10,492,49.2,23.74306916414416,-0.47490012718238134,5,6,18.0,0.010013580322265625
253,13,573,44.07692307692308,21.99038251320161,-0.25763518304169825,6,7,18.142857142857142,0.018835067749023438
254,14,622,44.42857142857143,17.878712248043808,0.010826385479414813,7,7,11.142857142857142,0.015020370483398438
